Tb,H''(Tb)
22.672999999999938,0.007671632
22.77299999999994,0.007675256
22.87299999999994,0.007678869
22.972999999999942,0.007682471
23.072999999999936,0.007686063
23.172999999999938,0.007689645
23.27299999999994,0.007693215
23.37299999999994,0.007696775
23.472999999999935,0.007700324
23.572999999999936,0.007703862
23.672999999999938,0.007707389
23.77299999999994,0.007710905
23.872999999999934,0.00771441
23.972999999999935,0.007717903
24.072999999999936,0.007721385
24.172999999999938,0.007724856
24.272999999999932,0.007728315
24.372999999999934,0.007731763
24.472999999999935,0.007735199
24.572999999999936,0.007738624
24.67299999999993,0.007742036
24.772999999999932,0.007745437
24.872999999999934,0.007748826
24.972999999999935,0.007752203
25.07299999999993,0.007755568
25.17299999999993,0.007758921
25.272999999999932,0.007762261
25.372999999999934,0.007765589
