Tb,H''(Tb)
22.672999999999938,0.007644008
22.77299999999994,0.00765253
22.87299999999994,0.007661006
22.972999999999942,0.007669436
23.072999999999936,0.007677822
23.172999999999938,0.007686162
23.27299999999994,0.007694457
23.37299999999994,0.007702706
23.472999999999935,0.007710911
23.572999999999936,0.007719071
23.672999999999938,0.007727185
23.77299999999994,0.007735254
23.872999999999934,0.007743278
23.972999999999935,0.007751257
24.072999999999936,0.007759191
24.172999999999938,0.00776708
24.272999999999932,0.007774924
24.372999999999934,0.007782723
24.472999999999935,0.007790477
24.572999999999936,0.007798187
24.67299999999993,0.007805851
24.772999999999932,0.00781347
24.872999999999934,0.007821044
24.972999999999935,0.007828574
25.07299999999993,0.007836058
25.17299999999993,0.007843498
25.272999999999932,0.007850893
25.372999999999934,0.007858244
